user_est,difficulty,quiz_score,confidence,pttm,eer
6.24,4,49.55,2,11.34,1.82
14.31,3,38.63,3,23.14,1.62
11.25,5,45.01,4,20.71,1.84
9.38,1,22.7,4,11.36,1.21
3.18,5,88.94,1,5.75,1.81
3.18,1,45.06,4,3.35,1.05
1.81,2,88.25,3,2.28,1.26
13.13,1,10.57,4,15.88,1.21
9.42,4,98.83,3,13.71,1.46
10.91,3,44.33,2,16.78,1.54
1.29,2,4.78,1,2.13,1.65
14.58,1,3.8,4,18.27,1.25
12.65,5,74.62,3,21.01,1.66
3.97,2,65.9,5,4.33,1.09
3.55,2,80.21,1,4.8,1.35
3.57,1,10.54,2,5.25,1.47
5.26,2,3.56,3,7.73,1.47
8.35,5,50.86,2,15.68,1.88
7.05,2,38.76,2,10.76,1.53
5.08,5,46.19,4,8.63,1.7
9.57,1,99.16,4,8.4,0.88
2.95,3,97.07,3,3.81,1.29
5.09,2,94.23,5,5.41,1.06
6.13,3,78.38,3,8.5,1.39
7.38,5,35.48,5,12.26,1.66
11.99,2,41.21,2,17.74,1.48
3.8,4,54.96,1,6.56,1.73
8.2,3,83.05,3,11.41,1.39
9.29,2,6.87,3,14.24,1.53
1.65,3,42.43,5,2.22,1.35
9.51,2,8.26,2,14.69,1.54
3.39,1,51.47,2,4.14,1.22
1.91,3,89.89,5,2.29,1.2
14.28,4,78.25,2,23.83,1.67
14.52,4,22.78,4,23.77,1.64
12.32,5,97.6,1,21.96,1.78
5.26,2,66.74,3,6.15,1.17
2.37,3,1.04,1,4.31,1.82
10.58,5,25.54,3,19.96,1.89
7.16,3,26.07,4,10.46,1.46
2.71,2,6.93,2,4.19,1.55
7.93,4,95.98,5,10.01,1.26
1.48,1,47.83,4,1.68,1.14
13.73,4,89.58,1,22.41,1.63
4.62,5,32.22,5,7.34,1.59
10.28,1,12.52,2,13.51,1.31
5.36,5,47.43,4,9.06,1.69
8.28,2,11.4,5,11.24,1.36
8.65,1,48.6,4,8.46,0.98
3.59,5,92.03,4,5.45,1.52
14.57,2,52.08,2,20.18,1.39
11.85,4,61.65,3,19.7,1.66
14.15,2,15.66,5,18.37,1.3
13.53,3,4.37,2,23.97,1.77
9.37,2,11.08,4,13.33,1.42
13.91,2,59.85,2,17.72,1.27
2.24,3,9.5,3,3.79,1.69
3.74,5,37.6,5,6.32,1.69
1.63,5,55.01,3,2.93,1.8
5.55,2,38.87,1,9.66,1.74
6.44,3,16.37,5,8.76,1.36
4.8,3,27.38,3,8.0,1.67
12.6,4,92.83,4,17.32,1.37
5.99,5,67.6,5,9.43,1.57
4.93,1,49.6,5,5.07,1.03
8.6,5,1.27,2,17.58,2.04
2.97,5,99.24,4,4.41,1.48
12.23,4,67.15,1,21.38,1.75
2.04,1,31.69,3,2.42,1.19
14.82,4,87.93,2,23.8,1.61
11.81,1,25.84,3,14.95,1.27
3.78,2,54.4,1,5.39,1.43
1.08,1,63.61,1,1.37,1.27
12.42,4,22.11,5,20.55,1.65
10.9,5,97.84,1,18.88,1.73
11.21,1,74.82,3,12.43,1.11
11.8,1,55.78,4,12.39,1.05
2.04,3,18.06,4,3.21,1.57
6.02,5,5.39,5,11.09,1.84
2.62,2,32.01,3,3.94,1.5
13.08,4,75.32,3,20.01,1.53
9.73,2,26.93,1,15.82,1.63
5.63,5,53.96,3,10.02,1.78
1.89,1,72.79,2,2.35,1.24
5.35,1,10.79,1,7.87,1.47
5.55,5,68.53,2,10.17,1.83
11.21,1,9.19,5,13.27,1.18
9.93,1,96.51,4,9.14,0.92
13.42,1,48.84,5,13.95,1.04
7.61,4,15.07,4,13.03,1.71
2.67,4,34.24,5,4.1,1.54
10.99,3,41.34,3,16.87,1.54
11.65,2,75.82,2,16.26,1.4
8.86,5,74.34,4,14.72,1.66
11.79,5,61.19,1,22.98,1.95
7.91,5,10.59,2,15.86,2.01
8.32,3,15.16,1,14.52,1.75
6.99,4,9.38,2,13.49,1.93
1.36,3,57.72,2,2.15,1.58
2.51,5,87.71,5,3.9,1.55
1.44,2,43.38,4,1.81,1.26
9.91,1,16.08,4,12.23,1.23
5.4,4,55.8,2,8.72,1.61
8.12,4,81.18,3,12.14,1.5
13.71,3,74.17,3,19.79,1.44
4.49,4,88.15,1,7.29,1.62
6.75,5,27.79,1,13.98,2.07
11.58,5,19.4,5,20.18,1.74
4.2,3,87.98,2,6.02,1.43
2.08,5,65.76,1,3.81,1.83
5.06,2,31.09,1,7.99,1.58
3.26,3,74.23,2,4.31,1.32
14.02,2,81.51,5,14.65,1.04
12.31,1,61.5,1,15.05,1.22
9.87,2,68.79,5,11.5,1.17
13.2,1,37.53,4,15.82,1.2
12.25,1,53.87,5,12.71,1.04
3.61,2,52.42,3,5.08,1.41
13.5,3,84.8,3,17.6,1.3
8.55,5,84.0,5,13.52,1.58
12.3,5,83.27,3,20.95,1.7
13.55,1,1.1,4,17.53,1.29
5.45,1,74.95,2,6.69,1.23
2.54,3,75.87,3,3.38,1.33
4.19,4,67.84,3,6.4,1.53
6.98,2,75.63,5,7.31,1.05
12.45,1,84.2,4,11.79,0.95
13.05,5,47.03,2,23.87,1.83
1.1,3,50.21,5,1.53,1.39
8.15,2,12.47,5,10.73,1.32
6.84,3,38.54,4,10.08,1.47
4.11,2,64.34,2,5.48,1.33
2.68,2,78.04,4,2.83,1.06
5.73,1,21.72,2,8.0,1.4
14.2,3,13.78,4,20.72,1.46
5.52,3,66.3,5,6.96,1.26
8.26,5,0.19,5,14.54,1.76
10.84,5,17.84,1,23.61,2.18
6.09,1,2.91,3,8.67,1.42
14.6,1,16.69,4,18.23,1.25
14.47,4,18.13,1,28.8,1.99
4.52,5,38.77,3,8.1,1.79
7.96,2,40.23,4,10.56,1.33
5.21,3,87.43,2,7.45,1.43
4.99,1,51.01,3,5.98,1.2
1.52,3,72.34,5,1.98,1.3
9.53,3,10.41,1,17.58,1.84
8.04,4,22.54,3,14.18,1.76
1.72,5,70.29,3,2.8,1.63
4.9,1,5.28,5,5.69,1.16
13.72,3,48.66,4,19.33,1.41
4.35,1,59.94,2,5.37,1.23
3.03,2,60.21,5,3.28,1.08
7.85,4,2.29,2,15.95,2.03
14.8,2,32.21,4,20.82,1.41
4.39,1,63.65,3,5.12,1.17
10.41,1,14.9,2,14.72,1.41
11.66,5,69.54,1,21.7,1.86
4.33,3,74.59,1,6.51,1.5
11.2,3,98.2,5,12.78,1.14
6.15,2,20.98,4,8.54,1.39
9.85,4,82.51,5,12.69,1.29
9.87,3,52.03,5,13.21,1.34
8.5,5,37.35,5,14.22,1.67
2.26,2,12.24,1,3.52,1.56
12.69,2,73.55,1,17.29,1.36
5.49,5,23.59,5,9.42,1.72
3.61,4,37.14,1,7.02,1.94
1.57,5,6.25,4,3.0,1.91
9.27,4,80.14,5,11.98,1.29
10.49,5,76.66,1,19.59,1.87
1.23,5,73.36,2,2.09,1.7
8.17,1,29.94,5,9.51,1.16
4.17,2,17.35,5,5.37,1.29
10.03,5,63.76,4,16.55,1.65
3.44,5,49.62,3,6.39,1.86
10.67,3,17.83,3,16.58,1.55
6.41,2,68.59,4,7.15,1.12
14.11,3,99.11,4,16.71,1.18
2.93,2,74.72,4,3.55,1.21
5.77,3,74.0,3,7.61,1.32
2.59,5,95.03,4,3.6,1.39
13.95,5,20.29,1,28.55,2.05
13.28,1,56.55,5,13.7,1.03
4.61,3,97.96,5,5.52,1.2
10.24,4,16.53,2,18.75,1.83
12.44,1,70.03,2,14.55,1.17
8.77,3,58.58,5,11.87,1.35
8.42,3,58.65,1,12.81,1.52
4.39,1,69.77,3,4.79,1.09
2.3,5,92.96,3,3.74,1.63
13.56,3,78.26,1,21.15,1.56
13.61,5,5.61,3,26.43,1.94
9.86,1,85.27,4,9.57,0.97
5.75,5,22.55,5,9.29,1.62
5.89,2,37.69,5,7.05,1.2
11.16,4,46.17,1,20.51,1.84
13.56,3,48.09,3,19.64,1.45
13.42,4,43.52,2,23.47,1.75
11.92,5,93.74,2,20.47,1.72
9.99,3,70.6,3,13.89,1.39
2.18,5,63.12,2,3.98,1.83
3.26,2,4.98,1,5.32,1.63
13.58,1,90.39,1,16.0,1.18
9.49,3,90.94,3,12.88,1.36
1.13,2,78.02,2,1.49,1.32
2.42,2,0.7,1,4.04,1.67
10.29,3,5.73,1,18.92,1.84
1.07,5,22.52,4,1.99,1.86
3.25,2,13.13,4,4.24,1.3
8.68,4,39.88,1,16.48,1.9
10.69,2,92.26,3,12.34,1.15
10.13,5,47.21,5,16.84,1.66
4.14,5,1.34,5,7.8,1.88
