target_hours,confidence,quiz_score,difficulty,actual_ttm
8,9,43,4,9.34
16,7,78,4,17.73
12,9,79,1,10.49
9,6,56,3,10.67
8,6,76,2,8.45
12,4,78,4,14.74
12,10,99,5,11.45
5,10,91,5,4.93
9,2,68,3,11.68
4,7,91,4,4.22
3,5,75,1,3.15
13,6,99,5,14.48
7,2,77,3,8.83
3,5,78,4,3.56
2,10,89,4,1.89
13,4,76,4,16.07
13,9,91,4,12.69
18,6,100,4,19.08
11,2,74,5,15.11
17,1,46,3,24.24
16,5,66,4,19.78
16,9,67,2,15.55
13,6,61,2,14.51
4,10,53,3,4.15
6,7,46,1,6.52
8,5,76,1,8.37
10,10,100,1,7.5
8,6,61,2,8.93
19,5,44,1,22.31
5,9,94,5,5.07
15,6,41,4,19.44
19,8,66,2,19.3
10,2,60,3,13.3
3,9,93,3,2.75
16,5,77,4,19.07
8,7,54,2,8.83
13,10,60,1,11.83
9,1,49,1,11.83
16,10,62,5,17.63
4,5,97,5,4.65
15,10,95,1,11.55
18,2,78,3,22.64
5,6,44,3,6.17
19,1,40,5,29.45
9,3,52,4,12.35
5,5,60,1,5.55
3,4,65,5,3.99
7,3,89,5,8.92
11,10,84,1,8.95
5,5,60,1,5.55
19,8,92,3,18.28
13,4,57,4,17.06
3,1,76,4,4.07
11,7,84,1,10.27
5,8,71,2,4.98
15,3,75,5,19.95
17,6,56,5,21.86
16,2,74,1,18.78
9,7,88,2,8.71
15,8,99,3,14.01
9,6,50,1,9.99
17,6,60,1,18.19
14,5,91,5,16.6
19,8,94,1,16.23
16,1,92,1,18.27
14,10,65,1,12.46
10,4,43,5,14.18
16,4,73,3,19.17
14,3,91,3,16.32
2,3,87,1,2.16
8,4,99,5,9.55
10,1,57,3,13.82
2,2,79,3,2.51
13,9,74,3,12.92
9,10,80,5,9.27
12,2,68,5,16.78
18,5,91,1,17.75
9,9,68,4,9.61
4,9,77,3,3.93
4,8,81,4,4.22
2,1,60,5,2.94
6,1,81,5,8.32
11,9,52,5,13.0
8,8,88,4,8.22
10,10,80,5,10.3
8,9,56,1,7.73
10,7,95,5,10.9
9,3,48,2,11.59
13,3,80,4,16.38
3,2,40,2,4.08
2,5,41,5,2.77
17,3,99,1,17.58
6,6,87,3,6.37
4,2,68,5,5.59
13,3,72,1,14.85
9,5,49,4,11.74
4,1,89,2,4.82
2,1,97,2,2.34
4,10,99,2,3.22
6,9,79,4,6.14
16,7,60,1,16.48
15,1,67,4,20.88
4,8,50,2,4.32
2,3,94,5,2.51
6,8,73,3,6.23
15,5,47,4,19.68
8,1,98,4,10.14
10,7,61,1,10.26
16,5,47,1,18.59
16,6,88,4,17.73
11,6,54,2,12.58
14,8,56,3,15.48
8,9,99,1,6.35
18,2,62,2,22.9
5,9,63,5,5.69
6,10,84,1,4.88
8,9,58,2,8.06
14,10,44,2,14.34
16,10,71,3,15.46
12,7,83,3,12.46
5,1,40,5,7.75
14,7,62,2,15.01
8,10,76,2,7.17
3,5,47,3,3.79
11,6,52,1,12.12
14,10,47,1,13.47
7,7,96,4,7.25
13,5,62,3,15.63
13,7,82,4,14.2
12,9,40,3,13.56
8,3,84,5,10.35
2,8,90,2,1.84
2,2,63,5,2.84
14,7,74,3,15.04
10,2,63,2,12.68
4,4,56,1,4.66
8,7,44,1,8.75
7,3,59,4,9.41
9,2,60,3,11.97
10,10,79,3,9.34
6,7,97,1,5.29
2,1,70,5,2.86
11,8,85,2,10.34
13,3,75,5,17.29
16,2,50,5,23.52
10,3,91,1,10.66
18,5,54,1,20.41
18,8,58,1,17.96
13,10,46,4,14.51
8,7,90,5,8.88
3,7,67,3,3.31
4,7,90,2,3.84
18,8,82,4,18.94
6,1,97,3,7.33
18,4,44,5,25.45
18,6,44,1,20.41
18,9,69,5,20.05
3,2,93,2,3.44
3,1,71,4,4.13
6,10,47,4,6.67
2,2,49,2,2.65
2,7,77,3,2.12
3,3,86,3,3.56
13,10,71,4,13.21
7,2,87,4,8.9
5,7,67,1,5.01
12,2,56,3,16.15
18,3,70,2,21.6
7,7,47,3,8.27
6,4,79,1,6.44
3,1,64,4,4.21
7,5,48,4,9.16
12,9,41,1,12.31
17,8,54,2,18.09
17,9,89,4,16.73
2,10,42,5,2.36
10,9,88,4,9.88
7,7,75,5,8.19
17,4,43,1,20.71
4,5,53,1,4.55
5,1,80,4,6.7
4,1,80,3,5.16
8,3,64,5,10.99
10,8,97,2,8.92
2,2,94,4,2.49
9,4,89,2,9.76
8,2,49,4,11.39
19,5,60,3,22.99
9,9,75,3,8.91
2,1,51,3,2.81
12,5,66,3,14.23
19,9,79,1,16.61
11,1,41,1,14.81
4,9,93,5,4.07
8,8,52,2,8.58
17,4,92,4,19.92
17,10,71,4,17.27
18,5,70,1,19.26
3,5,55,4,3.84
2,6,71,1,2.05
17,7,71,5,20.16
13,8,99,2,11.49
6,8,73,5,6.83
6,2,50,3,8.22
10,9,49,3,10.94
10,7,54,3,11.54
4,4,56,5,5.46
17,4,79,4,20.81
17,8,57,2,17.88
4,4,94,3,4.46
2,6,48,3,2.44
12,5,64,3,14.33
18,3,79,2,20.95
9,10,98,3,7.72
5,2,53,2,6.54
7,9,99,3,6.26
9,10,97,5,8.66
4,9,64,5,4.54
17,1,89,2,20.47
4,10,61,5,4.42
19,3,91,2,21.2
15,8,69,5,17.31
19,6,59,5,24.21
3,5,60,2,3.48
4,5,83,4,4.67
17,6,71,5,20.84
10,7,90,3,10.1
5,1,85,4,6.6
2,9,88,2,1.78
5,3,95,4,6.0
2,4,60,1,2.3
15,10,74,1,12.81
17,1,97,5,22.47
9,10,71,5,9.59
8,3,69,3,10.03
4,2,94,4,4.98
18,2,78,1,20.84
2,1,88,5,2.72
17,8,51,4,19.99
13,3,80,5,17.03
15,3,86,5,19.29
7,6,57,1,7.57
7,8,60,1,6.93
14,9,52,5,16.55
9,9,60,2,9.0
3,4,47,5,4.21
2,5,85,5,2.42
16,2,79,3,20.06
2,9,85,3,1.9
6,8,46,3,6.88
17,3,62,2,20.94
5,9,83,2,4.54
4,3,71,5,5.38
18,9,50,3,19.62
18,2,61,2,22.97
13,10,61,1,11.78
15,9,82,5,15.93
7,8,64,4,7.87
4,9,61,5,4.58
10,5,67,4,12.32
6,2,68,3,7.79
18,8,52,4,21.1
15,6,57,3,17.73
4,8,41,1,4.26
2,5,68,4,2.46
2,10,60,5,2.22
4,2,54,3,5.42
19,6,91,5,21.77
11,5,66,2,12.5
4,5,89,3,4.38
9,1,70,4,12.42
15,2,54,3,20.31
19,8,90,5,20.33
16,3,62,1,18.91
3,10,63,3,2.99
11,3,83,4,13.73
3,8,52,2,3.22
18,8,61,1,17.75
9,2,82,2,10.73
2,8,76,3,2.05
10,1,100,5,13.1
